Id,Star1Condition,Star2Condition,Star3Condition
1123,34,46,57
1124,34,46,57
1125,34,46,57
1126,34,46,57
1127,34,46,57
1128,34,46,57
1129,34,46,57
1131,34,46,57
1132,34,46,57
1133,34,46,57
1134,37,50,62
1135,37,50,62
1136,37,50,62
1137,37,50,62
1138,37,50,62
1139,37,50,62
1141,37,50,62
1142,37,50,62
1143,37,50,62
1144,37,50,62
1145,37,50,62
1146,37,50,62
1147,37,50,62
1148,37,50,62
1149,37,50,62
1151,37,50,62
1152,37,50,62
1153,37,50,62
1154,37,50,62
1155,37,50,62
1156,37,50,62
1157,37,50,62
1158,37,50,62
1159,37,50,62
1161,37,50,62
1162,37,50,62
1163,37,50,62
1164,37,50,62
1165,37,50,62
1166,37,50,62
1167,37,50,62
1168,37,50,62
1169,37,50,62
1171,37,50,62
1172,37,50,62
1173,37,50,62
1174,37,50,62
1175,37,50,62
1176,37,50,62
1177,37,50,62
1178,37,50,62
1179,37,50,62
1181,37,50,62
1182,37,50,62
1183,37,50,62
1184,37,50,62
1185,37,50,62
1186,37,50,62
1187,37,50,62
1188,37,50,62
1189,37,50,62
1191,37,50,62
1192,37,50,62
1193,37,50,62
1194,37,50,62
1195,37,50,62
1196,37,50,62
1197,37,50,62
1198,37,50,62
1199,37,50,62
1201,37,50,62
1202,37,50,62
1203,37,50,62
1204,37,50,62
1205,37,50,62
1206,37,50,62
1207,37,50,62
1208,37,50,62
1209,37,50,62
1211,37,50,62
1212,37,50,62
1213,37,50,62
1214,37,50,62
1215,37,50,62
1216,37,50,62
1217,37,50,62
1218,37,50,62
1219,37,50,62
1221,37,50,62
1222,37,50,62
1223,37,50,62
1224,37,50,62
1225,37,50,62
1226,37,50,62
1227,37,50,62
1228,37,50,62
1229,37,50,62
1231,37,50,62
1232,37,50,62
1233,37,50,62
1234,37,50,62
1235,37,50,62
1236,37,50,62
1237,37,50,62
1238,37,50,62
1239,37,50,62
1241,37,50,62
1242,37,50,62
1243,37,50,62
1244,37,50,62
1245,37,50,62
1246,37,50,62
1247,37,50,62
1248,37,50,62
1249,37,50,62
1251,37,50,62
1252,37,50,62
1253,37,50,62
1254,37,50,62
1255,37,50,62
1256,37,50,62
1257,40,54,67
1258,40,54,67
1259,40,54,67
1261,40,54,67
1262,40,54,67
1263,40,54,67
1264,40,54,67
1265,40,54,67
1266,40,54,67
1267,40,54,67
1268,40,54,67
1269,40,54,67
1271,40,54,67
1272,40,54,67
1273,40,54,67
1274,40,54,67
1275,40,54,67
1276,40,54,67
1277,40,54,67
1278,40,54,67
1279,40,54,67
1281,40,54,67
1282,40,54,67
1283,40,54,67
1284,40,54,67
1285,40,54,67
1286,40,54,67
1287,40,54,67
1288,40,54,67
1289,40,54,67
1291,40,54,67
1292,40,54,67
1293,40,54,67
1294,40,54,67
1295,40,54,67
1296,40,54,67
1297,40,54,67
1298,40,54,67
1299,40,54,67
1301,40,54,67
1302,40,54,67
1303,40,54,67
1304,40,54,67
1305,40,54,67
1306,40,54,67
1307,40,54,67
1308,40,54,67
1309,40,54,67
1311,40,54,67
1312,40,54,67
1313,40,54,67
1314,40,54,67
1315,40,54,67
1316,40,54,67
1317,40,54,67
1318,40,54,67
1319,40,54,67
1321,40,54,67
1322,40,54,67
1323,40,54,67
1324,40,54,67
1325,40,54,67
1326,40,54,67
1327,43,58,72
1328,43,58,72
1329,43,58,72
1331,43,58,72
1332,43,58,72
1333,43,58,72
1334,43,58,72
1335,43,58,72
1336,43,58,72
1337,43,58,72
1338,43,58,72
1339,43,58,72
1341,43,58,72
1342,43,58,72
1343,43,58,72
1344,43,58,72
1345,43,58,72
1346,43,58,72
1347,43,58,72
1348,43,58,72
1349,43,58,72
1351,43,58,72
1352,43,58,72
1353,43,58,72
1354,43,58,72
1355,43,58,72
1356,43,58,72
1357,43,58,72
1358,43,58,72
1359,43,58,72
1361,43,58,72
1362,43,58,72
1363,43,58,72
1364,43,58,72
1365,43,58,72
1366,43,58,72
1367,43,58,72
1368,43,58,72
1369,43,58,72
1371,43,58,72
1372,43,58,72
1373,43,58,72
1374,43,58,72
1375,43,58,72
1376,43,58,72
1377,43,58,72
1378,43,58,72
1379,43,58,72
1381,43,58,72
1382,43,58,72
1383,43,58,72
1384,43,58,72
1385,43,58,72
1386,43,58,72
1387,43,58,72
1388,43,58,72
1389,43,58,72
1391,43,58,72
1392,43,58,72
1393,43,58,72
1394,43,58,72
1395,43,58,72
1396,43,58,72
1397,43,58,72
1398,43,58,72
1399,43,58,72
1401,43,58,72
1402,43,58,72
1403,43,58,72
1404,46,62,77
1405,46,62,77
1406,46,62,77
1407,46,62,77
1408,46,62,77
1409,46,62,77
1411,46,62,77
1412,46,62,77
1413,46,62,77
1414,46,62,77
1415,46,62,77
1416,46,62,77
1417,46,62,77
1418,46,62,77
1419,46,62,77
1421,46,62,77
1422,46,62,77
1423,46,62,77
1424,46,62,77
1425,46,62,77
1426,46,62,77
1427,46,62,77
1428,46,62,77
1429,46,62,77
1431,46,62,77
1432,46,62,77
1433,46,62,77
1434,46,62,77
1435,46,62,77
1436,46,62,77
1437,46,62,77
1438,46,62,77
1439,46,62,77
1441,46,62,77
1442,46,62,77
1443,46,62,77
1444,46,62,77
1445,46,62,77
1446,46,62,77
1447,46,62,77
1448,46,62,77
1449,46,62,77
1451,46,62,77
1452,46,62,77
1453,46,62,77
1454,46,62,77
1455,46,62,77
1456,46,62,77
1457,46,62,77
1458,46,62,77
1459,46,62,77
1461,46,62,77
1462,46,62,77
1463,46,62,77
1464,46,62,77
1465,49,65,81
1466,49,65,81
1467,49,65,81
1468,49,65,81
1469,49,65,81
1471,49,65,81
1472,49,65,81
1473,49,65,81
1474,49,65,81
1475,49,65,81
1476,49,65,81
1477,49,65,81
1478,49,65,81
1479,49,65,81
1481,49,65,81
1482,49,65,81
1483,49,65,81
1484,49,65,81
1485,49,65,81
1486,49,65,81
1487,49,65,81
1488,49,65,81
1489,49,65,81
1491,49,65,81
1492,49,65,81
1493,49,65,81
1494,49,65,81
1495,49,65,81
1496,49,65,81
1497,49,65,81
1498,49,65,81
1499,49,65,81
1501,49,65,81
1502,49,65,81
1503,49,65,81
1504,49,65,81
1505,49,65,81
1506,49,65,81
1507,49,65,81
1508,49,65,81
1509,49,65,81
1511,49,65,81
1512,49,65,81
1513,49,65,81
1514,49,65,81
1515,49,65,81
1516,49,65,81
1517,49,65,81
1518,49,65,81
1519,49,65,81
1521,49,65,81
1522,49,65,81
1523,49,65,81
1524,49,65,81
1525,49,65,81
1526,49,65,81
1527,49,65,81
1528,49,65,81
1529,49,65,81
1531,49,65,81
1532,49,65,81
1533,49,65,81
1534,49,65,81
1535,49,65,81
1536,49,65,81
1537,49,65,81
1538,49,65,81
1539,52,69,86
1541,52,69,86
1542,52,69,86
1543,52,69,86
1544,52,69,86
1545,52,69,86
1546,52,69,86
1547,52,69,86
1548,52,69,86
1549,52,69,86
1551,52,69,86
1552,52,69,86
1553,52,69,86
1554,52,69,86
1555,52,69,86
1556,52,69,86
1557,52,69,86
1558,52,69,86
1559,52,69,86
1561,52,69,86
1562,52,69,86
1563,52,69,86
1564,52,69,86
1565,52,69,86
1566,52,69,86
1567,52,69,86
1568,52,69,86
1569,52,69,86
1571,52,69,86
1572,52,69,86
1573,52,69,86
1574,52,69,86
1575,52,69,86
1576,52,69,86
1577,52,69,86
1578,52,69,86
1579,52,69,86
1581,52,69,86
1582,52,69,86
1583,52,69,86
1584,52,69,86
1585,52,69,86
1586,52,69,86
1587,52,69,86
1588,52,69,86
1589,52,69,86
1591,52,69,86
1592,52,69,86
1593,52,69,86
1594,52,69,86
1595,52,69,86
1596,52,69,86
1597,52,69,86
1598,52,69,86
1599,52,69,86
1601,52,69,86
1602,52,69,86
1603,52,69,86
1604,52,69,86
1605,52,69,86
1606,52,69,86
1607,52,69,86
1608,52,69,86
1609,52,69,86
1611,52,69,86
1612,52,69,86
1613,52,69,86
1614,52,69,86
1615,52,69,86
1616,52,69,86
1617,52,69,86
1618,52,69,86
1619,52,69,86
1621,52,69,86
1622,52,69,86
1623,52,69,86
1624,52,69,86
1625,52,69,86
1626,52,69,86
1627,52,69,86
1628,52,69,86
1629,52,69,86
1631,52,69,86
1632,52,69,86
1633,52,69,86
1634,52,69,86
1635,52,69,86
1636,52,69,86
1637,52,69,86
1638,52,69,86
1639,52,69,86
1641,52,69,86
1642,52,69,86
1643,52,69,86
1644,52,69,86
1645,52,69,86
1646,52,69,86
1647,52,69,86
1648,52,69,86
1649,52,69,86
1651,52,69,86
1652,52,69,86
1653,52,69,86
1654,52,69,86
1655,52,69,86
1656,52,69,86
1657,52,69,86
1658,52,69,86
1659,52,69,86
1661,52,69,86
1662,52,69,86
1663,52,69,86
1664,52,69,86
1665,52,69,86
1666,52,69,86
1667,52,69,86
1668,52,69,86
1669,52,69,86
1671,52,69,86
1672,52,69,86
1673,52,69,86
1674,52,69,86
1675,52,69,86
1676,52,69,86
1677,52,69,86
1678,52,69,86
1679,52,69,86
1681,52,69,86
1682,52,69,86
1683,52,69,86
1684,52,69,86
1685,52,69,86
1686,52,69,86
1687,52,69,86
1688,52,69,86
1689,52,69,86
1691,52,69,86
1692,52,69,86
1693,52,69,86
1694,52,69,86
1695,52,69,86
1696,52,69,86
1697,52,69,86
1698,52,69,86
1699,55,73,91
1701,55,73,91
1702,55,73,91
1703,55,73,91
1704,55,73,91
1705,55,73,91
1706,55,73,91
1707,55,73,91
1708,55,73,91
1709,55,73,91
1711,55,73,91
1712,55,73,91
1713,55,73,91
1714,55,73,91
1715,55,73,91
1716,55,73,91
1717,55,73,91
1718,55,73,91
1719,55,73,91
1721,55,73,91
1722,55,73,91
1723,55,73,91
1724,55,73,91
1725,55,73,91
1726,55,73,91
1727,55,73,91
1728,55,73,91
1729,55,73,91
1731,55,73,91
1732,55,73,91
1733,55,73,91
1734,55,73,91
1735,55,73,91
1736,55,73,91
1737,55,73,91
1738,55,73,91
1739,55,73,91
1741,55,73,91
1742,55,73,91
1743,55,73,91
1744,55,73,91
1745,55,73,91
1746,55,73,91
1747,55,73,91
1748,55,73,91
1749,55,73,91
1751,55,73,91
1752,55,73,91
1753,55,73,91
1754,55,73,91
1755,55,73,91
1756,55,73,91
1757,55,73,91
1758,55,73,91
1759,55,73,91
1761,55,73,91
1762,55,73,91
1763,55,73,91
1764,55,73,91
1765,55,73,91
1766,55,73,91
1767,55,73,91
1768,55,73,91
1769,55,73,91
1771,55,73,91
1772,55,73,91
1773,55,73,91
1774,55,73,91
1775,55,73,91
1776,55,73,91
1777,55,73,91
1778,55,73,91
1779,55,73,91
1781,55,73,91
1782,55,73,91
1783,55,73,91
1784,55,73,91
1785,55,73,91
1786,55,73,91
1787,55,73,91
1788,55,73,91
1789,55,73,91
1791,55,73,91
1792,55,73,91
1793,55,73,91
1794,55,73,91
1795,55,73,91
1796,55,73,91
1797,55,73,91
1798,55,73,91
1799,55,73,91
1801,55,73,91
1802,55,73,91
1803,55,73,91
1804,55,73,91
1805,55,73,91
1806,55,73,91
1807,55,73,91
1808,55,73,91
1809,55,73,91
1811,55,73,91
1812,55,73,91
1813,55,73,91
1814,55,73,91
1815,55,73,91
1816,55,73,91
1817,55,73,91
1818,55,73,91
1819,55,73,91
1821,55,73,91
1822,55,73,91
1823,55,73,91
1824,55,73,91
1825,55,73,91
1826,55,73,91
1827,55,73,91
1828,55,73,91
1829,55,73,91
1831,55,73,91
1832,55,73,91
1833,55,73,91
1834,55,73,91
1835,55,73,91
1836,55,73,91
1837,55,73,91
1838,55,73,91
1839,55,73,91
1841,55,73,91
1842,55,73,91
1843,55,73,91
1844,55,73,91
1845,55,73,91
1846,55,73,91
1847,55,73,91
1848,55,73,91
1849,55,73,91
1851,55,73,91
1852,55,73,91
1853,55,73,91
1854,55,73,91
1855,55,73,91
1856,55,73,91
1857,55,73,91
1858,55,73,91
1859,55,73,91
1861,55,73,91
1862,55,73,91
1863,55,73,91
1864,55,73,91
1865,55,73,91
1866,55,73,91
1867,55,73,91
1868,55,73,91
1869,55,73,91
1871,55,73,91
1872,55,73,91
1873,55,73,91
1874,55,73,91
1875,55,73,91
1876,55,73,91
1877,55,73,91
1878,55,73,91
1879,55,73,91
1881,55,73,91
1882,55,73,91
1883,55,73,91
1884,55,73,91
1885,55,73,91
1886,55,73,91
1887,55,73,91
1888,55,73,91
1889,55,73,91
1891,55,73,91
1892,55,73,91
1893,55,73,91
1894,55,73,91
1895,55,73,91
1896,55,73,91
1897,55,73,91
1898,55,73,91
1899,55,73,91
1901,55,73,91
1902,55,73,91
1903,55,73,91
1904,55,73,91
1905,55,73,91
1906,55,73,91
1907,55,73,91
1908,55,73,91
1909,55,73,91
1911,55,73,91
1912,55,73,91
1913,55,73,91
1914,55,73,91
1915,55,73,91
1916,55,73,91
1917,55,73,91
1918,55,73,91
1919,55,73,91
1921,55,73,91
1922,55,73,91
1923,55,73,91
1924,55,73,91
1925,58,77,96
1926,58,77,96
1927,58,77,96
1928,58,77,96
1929,58,77,96
1931,58,77,96
1932,58,77,96
1933,58,77,96
1934,58,77,96
1935,58,77,96
1936,58,77,96
1937,58,77,96
1938,58,77,96
1939,58,77,96
1941,58,77,96
1942,58,77,96
1943,58,77,96
1944,58,77,96
1945,58,77,96
1946,58,77,96
1947,58,77,96
1948,58,77,96
1949,58,77,96
1951,58,77,96
1952,58,77,96
1953,58,77,96
1954,58,77,96
1955,58,77,96
1956,58,77,96
1957,58,77,96
1958,58,77,96
1959,58,77,96
1961,58,77,96
1962,58,77,96
1963,58,77,96
1964,58,77,96
1965,58,77,96
1966,58,77,96
1967,58,77,96
1968,58,77,96
1969,58,77,96
1971,58,77,96
1972,58,77,96
1973,58,77,96
1974,58,77,96
1975,58,77,96
1976,58,77,96
1977,58,77,96
1978,58,77,96
1979,58,77,96
1981,58,77,96
1982,58,77,96
1983,58,77,96
1984,58,77,96
1985,58,77,96
1986,58,77,96
1987,58,77,96
1988,58,77,96
1989,58,77,96
1991,58,77,96
1992,58,77,96
1993,58,77,96
1994,58,77,96
1995,58,77,96
1996,58,77,96
1997,58,77,96
1998,58,77,96
1999,58,77,96
