Id,Star1Y,Star2R,Star3Y,Star3R
1075,1.67A,56,3.35A,84
1076,1.76A,56,3.52A,84
1077,1.76A,56,3.52A,84
1078,1.84A,56,3.69A,84
1079,1.94A,56,3.88A,84
1080,2.03A,56,4.07A,84
1081,2.13A,56,4.27A,84
1082,2.47A,56,4.95A,84
1083,2.88A,56,5.76A,84
1084,3.03A,56,6.05A,84
1085,3.18A,56,6.36A,84
1086,3.34A,56,6.67A,84
1087,3.34A,56,6.67A,84
1088,3.5A,56,7.01A,84
1089,3.68A,56,7.36A,84
1090,3.86A,56,7.72A,84
1091,4.7A,80,9.39A,120
1092,5.42A,80,10.85A,120
1093,5.7A,80,11.39A,120
1094,5.98A,80,11.96A,120
1095,6.28A,80,12.56A,120
1096,6.59A,80,13.19A,120
1097,6.92A,80,13.85A,120
1098,7.27A,80,14.54A,120
1099,7.63A,80,15.27A,120
1100,8.84A,80,17.67A,120
1101,9.28A,80,18.55A,120
1102,10.63A,80,21.25A,120
1103,11.16A,80,22.32A,120
1104,11.71A,80,23.43A,120
1105,12.3A,80,24.61A,120
1106,12.92A,80,25.84A,120
1107,13.56A,80,27.12A,120
1108,14.24A,80,28.48A,120
1109,17.31A,80,34.62A,120
1110,18.18A,80,36.35A,120
1111,20.68A,80,41.35A,120
1112,21.71A,80,43.41A,120
1113,22.79A,80,45.59A,120
1114,23.93A,80,47.87A,120
1115,25.13A,80,50.26A,120
1116,26.39A,80,52.77A,120
1117,29.09A,80,58.18A,120
1118,35.36A,80,70.72A,120
1119,37.13A,80,74.25A,120
1120,41.98A,80,83.97A,120
1121,44.08A,80,88.17A,120
1122,46.29A,80,92.58A,120
1123,48.6A,80,97.2A,120
1124,51.03A,80,102.06A,120
1125,53.58A,80,107.17A,120
1126,56.26A,80,112.53A,120
1127,71.81A,80,143.61A,120
1128,75.4A,80,150.79A,120
1129,84.82A,80,169.64A,120
1130,89.06A,80,178.12A,120
1131,93.52A,80,187.03A,120
1132,98.19A,80,196.38A,120
1133,103.1A,80,206.2A,120
1134,113.67A,80,227.34A,120
1135,119.35A,80,238.71A,120
1136,145.07A,112,290.14A,168
1137,152.32A,112,304.65A,168
1138,179.13A,112,358.27A,168
1139,188.09A,112,376.19A,168
1140,197.5A,112,395.0A,168
1141,207.37A,112,414.75A,168
1142,228.63A,112,457.25A,168
1143,240.06A,112,480.12A,168
1144,252.5A,112,505.0A,168
1145,322.5A,112,645.0A,168
1146,337.5A,112,675.0A,168
1147,355.0A,112,710.0A,168
1148,395.0A,112,790.0A,168
1149,435.0A,112,870.0A,168
1150,457.5A,112,915.0A,168
1151,480.0A,112,960.0A,168
1152,505.0A,112,1.01B,168
1153,530.0A,112,1.06B,168
1154,677.5A,112,1.35B,168
1155,710.0A,112,1.42B,168
1156,782.5A,112,1.56B,168
1157,870.0A,112,1.74B,168
1158,915.0A,112,1.83B,168
1159,960.0A,112,1.92B,168
1160,1.06B,112,2.12B,168
1161,1.11B,112,2.23B,168
1162,1.17B,112,2.33B,168
1163,1.49B,112,2.98B,168
1164,1.64B,112,3.29B,168
1165,1.73B,112,3.45B,168
1166,1.91B,112,3.83B,168
1167,2.11B,112,4.21B,168
1168,2.21B,112,4.42B,168
1169,2.32B,112,4.64B,168
1170,2.56B,112,5.12B,168
1171,2.69B,112,5.38B,168
1172,3.6B,112,7.21B,168
1173,3.79B,112,7.57B,168
1174,3.97B,112,7.95B,168
1175,4.61B,112,9.22B,168
1176,4.93B,112,9.87B,168
1177,5.28B,112,10.56B,168
1178,6.04B,112,12.09B,168
1179,6.47B,112,12.94B,168
1180,6.92B,112,13.84B,168
1181,10.38B,160,20.77B,240
1182,11.11B,160,22.23B,240
1183,11.89B,160,23.78B,240
1184,14.29B,160,28.59B,240
1185,15.29B,160,30.59B,240
1186,16.36B,160,32.73B,240
1187,18.74B,160,37.48B,240
1188,20.05B,160,40.09B,240
1189,22.95B,160,45.91B,240
1190,32.19B,160,64.39B,240
1191,36.86B,160,73.72B,240
1192,39.44B,160,78.88B,240
1193,42.2B,160,84.39B,240
1194,50.62B,160,101.23B,240
1195,54.16B,160,108.31B,240
1196,62.01B,160,124.01B,240
1197,66.34B,160,132.69B,240
1198,75.96B,160,151.91B,240
1199,106.53B,160,213.07B,240
1200,121.97B,160,243.94B,240
1201,130.51B,160,261.02B,240
1202,149.42B,160,298.84B,240
1203,167.15B,160,334.3B,240
1204,191.37B,160,382.74B,240
1205,204.76B,160,409.52B,240
1206,234.43B,160,468.87B,240
1207,250.0B,160,500.0B,240
1208,377.5B,160,755.0B,240
1209,430.0B,160,860.0B,240
1210,460.0B,160,920.0B,240
1211,527.5B,160,1.05C,240
1212,590.0B,160,1.18C,240
1213,675.0B,160,1.35C,240
1214,722.5B,160,1.45C,240
1215,827.5B,160,1.66C,240
1216,885.0B,160,1.77C,240
1217,1.33C,160,2.65C,240
1218,1.52C,160,3.04C,240
1219,1.63C,160,3.25C,240
1220,1.86C,160,3.73C,240
1221,2.08C,160,4.15C,240
1222,2.38C,160,4.75C,240
1223,2.54C,160,5.08C,240
1224,2.91C,160,5.82C,240
1225,3.12C,160,6.23C,240
1226,5.0C,224,10.01C,336
1227,5.35C,224,10.71C,336
1228,6.13C,224,12.26C,336
1229,6.55C,224,13.11C,336
1230,7.81C,224,15.62C,336
1231,8.35C,224,16.7C,336
1232,9.56C,224,19.12C,336
1233,10.95C,224,21.9C,336
1234,11.71C,224,23.43C,336
1235,18.81C,224,37.62C,336
1236,20.13C,224,40.26C,336
1237,23.05C,224,46.09C,336
1238,26.39C,224,52.77C,336
1239,28.23C,224,56.47C,336
1240,33.56C,224,67.13C,336
1241,38.43C,224,76.86C,336
1242,41.12C,224,82.24C,336
1243,47.08C,224,94.16C,336
1244,70.65C,224,141.31C,336
1245,80.89C,224,161.78C,336
1246,92.61C,224,185.22C,336
1247,99.09C,224,198.19C,336
1248,113.45C,224,226.91C,336
1249,125.89C,224,251.78C,336
1250,144.13C,224,288.26C,336
1251,165.01C,224,330.03C,336
1252,176.56C,224,353.13C,336
1253,282.5C,224,565.0C,336
1254,325.0C,224,650.0C,336
1255,347.5C,224,695.0C,336
1256,397.5C,224,795.0C,336
1257,455.0C,224,910.0C,336
1258,505.0C,224,1.01D,336
1259,577.5C,224,1.16D,336
1260,662.5C,224,1.32D,336
1261,707.5C,224,1.42D,336
1262,1.14D,224,2.27D,336
1263,1.3D,224,2.6D,336
1264,1.49D,224,2.98D,336
1265,1.59D,224,3.19D,336
1266,1.82D,224,3.65D,336
1267,2.16D,224,4.32D,336
1268,2.31D,224,4.62D,336
1269,2.65D,224,5.29D,336
1270,3.03D,224,6.06D,336
1271,4.87D,316,9.73D,474
1272,5.57D,316,11.14D,474
1273,6.38D,316,12.76D,474
1274,6.83D,316,13.65D,474
1275,7.82D,316,15.63D,474
1276,9.25D,316,18.5D,474
1277,10.59D,316,21.18D,474
1278,11.33D,316,22.66D,474
1279,12.97D,316,25.94D,474
1280,22.28D,316,44.56D,474
1281,23.84D,316,47.69D,474
1282,27.3D,316,54.59D,474
1283,31.25D,316,62.51D,474
1284,33.44D,316,66.88D,474
1285,38.29D,316,76.58D,474
1286,45.25D,316,90.5D,474
1287,51.8D,316,103.61D,474
1288,55.43D,316,110.86D,474
1289,95.24D,316,190.48D,474
1290,101.91D,316,203.81D,474
1291,116.67D,316,233.35D,474
1292,133.58D,316,267.16D,474
1293,152.94D,316,305.87D,474
1294,163.64D,316,327.29D,474
1295,193.21D,316,386.42D,474
1296,221.2D,316,442.4D,474
1297,252.5D,316,505.0D,474
1298,407.5D,316,815.0D,474
1299,465.0D,316,930.0D,474
1300,532.5D,316,1.06E,474
1301,610.0D,316,1.22E,474
1302,697.5D,316,1.4E,474
1303,747.5D,316,1.5E,474
1304,882.5D,316,1.76E,474
1305,1.01E,316,2.02E,474
1306,1.16E,316,2.31E,474
1307,1.99E,316,3.98E,474
1308,2.12E,316,4.25E,474
1309,2.43E,316,4.87E,474
1310,2.79E,316,5.57E,474
1311,3.19E,316,6.38E,474
1312,3.65E,316,7.3E,474
1313,4.3E,316,8.61E,474
1314,4.93E,316,9.86E,474
1315,5.64E,316,11.29E,474
1316,9.69E,444,19.39E,666
1317,11.1E,444,22.2E,666
1318,11.88E,444,23.75E,666
1319,13.6E,444,27.19E,666
1320,15.56E,444,31.13E,666
1321,17.82E,444,35.64E,666
1322,20.98E,444,41.97E,666
1323,24.02E,444,48.05E,666
1324,27.51E,444,55.02E,666
1325,47.26E,444,94.53E,666
1326,54.11E,444,108.22E,666
1327,61.95E,444,123.91E,666
1328,70.93E,444,141.85E,666
1329,81.2E,444,162.41E,666
1330,86.89E,444,173.78E,666
1331,99.48E,444,198.96E,666
1332,117.06E,444,234.12E,666
1333,134.02E,444,268.04E,666
1334,230.27E,444,460.55E,666
1335,262.5E,444,525.0E,666
1336,302.5E,444,605.0E,666
1337,345.0E,444,690.0E,666
1338,395.0E,444,790.0E,666
1339,452.5E,444,905.0E,666
1340,517.5E,444,1.03F,666
1341,610.0E,444,1.22F,666
1342,697.5E,444,1.4F,666
1343,1.2F,444,2.4F,666
1344,1.37F,444,2.75F,666
1345,1.57F,444,3.15F,666
1346,1.8F,444,3.6F,666
1347,2.06F,444,4.12F,666
1348,2.36F,444,4.72F,666
1349,2.7F,444,5.41F,666
1350,3.17F,444,6.35F,666
1351,3.63F,444,7.27F,666
1352,6.25F,444,12.49F,666
1353,7.15F,444,14.3F,666
1354,8.19F,444,16.37F,666
1355,9.37F,444,18.75F,666
1356,10.73F,444,21.46F,666
1357,12.29F,444,24.57F,666
1358,14.06F,444,28.13F,666
1359,16.52F,444,33.03F,666
1360,18.91F,444,37.81F,666
1361,34.76F,624,69.53F,936
1362,39.8F,624,79.6F,936
1363,45.57F,624,91.14F,936
1364,52.17F,624,104.34F,936
1365,59.73F,624,119.46F,936
1366,68.39F,624,136.77F,936
1367,78.29F,624,156.59F,936
1368,91.88F,624,183.75F,936
1369,112.56F,624,225.11F,936
1370,193.39F,624,386.78F,936
1371,221.41F,624,442.82F,936
1372,252.5F,624,505.0F,936
1373,290.0F,624,580.0F,936
1374,332.5F,624,665.0F,936
1375,380.0F,624,760.0F,936
1376,465.0F,624,930.0F,936
1377,532.5F,624,1.06G,936
1378,625.0F,624,1.25G,936
1379,1.07G,624,2.15G,936
1380,1.23G,624,2.46G,936
1381,1.41G,624,2.82G,936
1382,1.61G,624,3.23G,936
1383,1.85G,624,3.69G,936
1384,2.26G,624,4.53G,936
1385,2.59G,624,5.18G,936
1386,2.97G,624,5.93G,936
1387,3.48G,624,6.96G,936
1388,5.97G,624,11.95G,936
1389,7.32G,624,14.64G,936
1390,8.38G,624,16.76G,936
1391,9.6G,624,19.19G,936
1392,10.98G,624,21.97G,936
1393,12.57G,624,25.15G,936
1394,14.4G,624,28.8G,936
1395,16.48G,624,32.97G,936
1396,20.66G,624,41.33G,936
1397,35.5G,624,71.0G,936
1398,43.49G,624,86.98G,936
1399,49.8G,624,99.59G,936
1400,57.01G,624,114.02G,936
1401,65.27G,624,130.54G,936
1402,74.73G,624,149.46G,936
1403,91.55G,624,183.09G,936
1404,104.81G,624,209.62G,936
1405,122.72G,624,245.45G,936
1406,225.63G,880,451.25G,1320
1407,257.5G,880,515.0G,1320
1408,317.5G,880,635.0G,1320
1409,362.5G,880,725.0G,1320
1410,415.0G,880,830.0G,1320
1411,475.0G,880,950.0G,1320
1412,582.5G,880,1.17H,1320
1413,665.0G,880,1.33H,1320
1414,780.0G,880,1.56H,1320
1415,1.43H,880,2.87H,1320
1416,1.75H,880,3.51H,1320
1417,2.01H,880,4.02H,1320
1418,2.3H,880,4.61H,1320
1419,2.63H,880,5.27H,1320
1420,3.23H,880,6.46H,1320
1421,3.69H,880,7.39H,1320
1422,4.23H,880,8.46H,1320
1423,4.95H,880,9.9H,1320
1424,9.1H,880,18.2H,1320
1425,10.42H,880,20.84H,1320
1426,12.76H,880,25.52H,1320
1427,14.61H,880,29.22H,1320
1428,16.73H,880,33.45H,1320
1429,19.15H,880,38.3H,1320
1430,23.46H,880,46.92H,1320
1431,26.86H,880,53.73H,1320
1432,30.75H,880,61.51H,1320
1433,57.74H,880,115.49H,1320
1434,66.11H,880,132.22H,1320
1435,80.99H,880,161.98H,1320
1436,92.72H,880,185.45H,1320
1437,106.16H,880,212.32H,1320
1438,130.05H,880,260.1H,1320
1439,148.9H,880,297.79H,1320
1440,170.47H,880,340.94H,1320
1441,195.17H,880,390.34H,1320
1442,392.5H,880,785.0H,1320
1443,447.5H,880,895.0H,1320
1444,512.5H,880,1.02I,1320
1445,630.0H,880,1.26I,1320
1446,720.0H,880,1.44I,1320
1447,825.0H,880,1.65I,1320
1448,1.01I,880,2.02I,1320
1449,1.16I,880,2.31I,1320
1450,1.32I,880,2.65I,1320
